po_number,item,location,week,year,units,createDate
4501110292,20014461137,3010,32,2023,1.0,2023-04-20
4501098593,20014461047,3220,26,2023,25.0,2023-03-10
4501110338,20014461047,3200,33,2023,22.0,2023-04-20
4501084214,20014461047,3210,21,2023,13.0,2023-01-27
4501091223,20014461047,3220,24,2023,33.0,2023-02-17
4501072859,20014461047,3010,19,2023,22.0,2022-12-22
4501074375,20014461047,3000,18,2023,5.0,2022-12-29
4501078404,20014461047,3200,20,2023,16.0,2023-01-12
4501110241,20014461047,3000,29,2023,13.0,2023-04-20
4501083174,20014461047,3010,23,2023,11.0,2023-01-26
4501090523,20014461047,3200,25,2023,28.0,2023-02-17
4501090486,20014461047,3010,26,2023,17.0,2023-02-17
4501082919,20014461047,3000,18,2023,7.0,2023-01-26
4501076299,20014461047,3010,22,2023,15.0,2023-01-05
4501110324,20014461047,3200,32,2023,22.0,2023-04-20
4501090472,20014461047,3000,27,2023,5.0,2023-02-17
4501076251,20014461047,3000,18,2023,17.0,2023-01-05
4501090487,20014461047,3010,28,2023,17.0,2023-02-17
4501098377,20014461047,3010,30,2023,32.0,2023-03-09
4501098378,20014461047,3010,31,2023,32.0,2023-03-09
4501083179,20014461047,3010,23,2023,11.0,2023-01-26
4501084254,20014461047,3220,17,2023,35.0,2023-01-27
4501090522,20014461047,3200,25,2023,28.0,2023-02-17
4501110311,20014461047,3200,31,2023,22.0,2023-04-20
4501090471,20014461047,3000,27,2023,5.0,2023-02-17
4501090470,20014461047,3000,24,2023,5.0,2023-02-17
4501108120,20014461047,3000,31,2023,14.0,2023-04-13
4501098578,20014461047,3200,31,2023,27.0,2023-03-10
4501068808,20014461047,3200,18,2023,14.0,2022-12-08
4501076315,20014461047,3210,18,2023,12.0,2023-01-05
4501098379,20014461047,3010,32,2023,32.0,2023-03-09
4501086286,20014461047,3210,23,2023,11.0,2023-02-03
4501110244,20014461047,3000,29,2023,13.0,2023-04-20
4501083168,20014461047,3010,22,2023,11.0,2023-01-26
4501074375,20014461049,3000,18,2023,6.0,2022-12-29
4501110244,20014461049,3000,29,2023,11.0,2023-04-20
4501082927,20014461049,3000,19,2023,38.0,2023-01-26
4501090488,20014461049,3010,26,2023,2.0,2023-02-17
4501098577,20014461049,3200,29,2023,32.0,2023-03-10
4501082931,20014461049,3000,21,2023,38.0,2023-01-26
4501084215,20014461049,3210,21,2023,19.0,2023-01-27
4501091211,20014461049,3210,25,2023,31.0,2023-02-17
4501090489,20014461049,3010,26,2023,2.0,2023-02-17
4501090490,20014461049,3010,31,2023,2.0,2023-02-17
4501079120,20014461049,3220,18,2023,34.0,2023-01-13
4501090467,20014461049,3000,23,2023,50.0,2023-02-17
4501098593,20014461049,3220,26,2023,29.0,2023-03-10
4501110324,20014461049,3200,32,2023,24.0,2023-04-20
4501076314,20014461049,3210,18,2023,13.0,2023-01-05
4501112655,20014461049,3000,33,2023,8.0,2023-04-27
4501083160,20014461049,3010,22,2023,24.0,2023-01-26
4501086286,20014461049,3210,23,2023,17.0,2023-02-03
4501090522,20014461049,3200,25,2023,45.0,2023-02-17
4501076251,20014461049,3000,18,2023,43.0,2023-01-05
4501110314,20014461049,3200,31,2023,24.0,2023-04-20
4501067103,20014461049,3010,19,2023,30.0,2022-12-02
4501090485,20014461049,3010,26,2023,29.0,2023-02-17
4501083168,20014461049,3010,22,2023,24.0,2023-01-26
4501090472,20014461049,3000,27,2023,6.0,2023-02-17
4501090470,20014461049,3000,24,2023,6.0,2023-02-17
4501110277,20014461049,3000,31,2023,11.0,2023-04-20
4501086019,20014461049,3000,25,2023,33.0,2023-02-02
4501098586,20014461049,3210,30,2023,11.0,2023-03-10
4501078404,20014461049,3200,20,2023,21.0,2023-01-12
4501110241,20014461049,3000,29,2023,11.0,2023-04-20
4501083174,20014461049,3010,23,2023,24.0,2023-01-26
4501090523,20014461049,3200,25,2023,45.0,2023-02-17
4501090486,20014461049,3010,26,2023,29.0,2023-02-17
4501070829,20014461049,3000,19,2023,7.0,2022-12-15
4501076299,20014461049,3010,22,2023,28.0,2023-01-05
4501108120,20014461049,3000,31,2023,9.0,2023-04-13
4501090487,20014461049,3010,28,2023,29.0,2023-02-17
4501110311,20014461049,3200,31,2023,24.0,2023-04-20
4501110265,20014461049,3000,30,2023,11.0,2023-04-20
4501098377,20014461049,3010,30,2023,29.0,2023-03-09
4501098378,20014461049,3010,31,2023,29.0,2023-03-09
4501083179,20014461049,3010,23,2023,24.0,2023-01-26
4501084254,20014461049,3220,17,2023,47.0,2023-01-27
4501084214,20014461049,3210,21,2023,19.0,2023-01-27
4501110307,20014461049,3010,34,2023,5.0,2023-04-20
4501082919,20014461049,3000,18,2023,38.0,2023-01-26
4501110338,20014461049,3200,33,2023,24.0,2023-04-20
4501098578,20014461049,3200,31,2023,32.0,2023-03-10
4501068808,20014461049,3200,18,2023,17.0,2022-12-08
4501098358,20014461049,3000,29,2023,86.0,2023-03-09
4501076315,20014461049,3210,18,2023,13.0,2023-01-05
4501098379,20014461049,3010,32,2023,29.0,2023-03-09
4501090471,20014461049,3000,27,2023,6.0,2023-02-17
4501091223,20014461049,3220,24,2023,29.0,2023-02-17
4501091223,20014461076,3220,24,2023,18.0,2023-02-17
4501083168,20014461076,3010,22,2023,15.0,2023-01-26
4501098577,20014461076,3200,29,2023,18.0,2023-03-10
4501083160,20014461076,3010,22,2023,15.0,2023-01-26
4501086286,20014461076,3210,23,2023,11.0,2023-02-03
4501082927,20014461076,3000,19,2023,24.0,2023-01-26
4501082931,20014461076,3000,21,2023,24.0,2023-01-26
4501086268,20014461076,3200,25,2023,37.0,2023-02-03
4501079120,20014461076,3220,18,2023,13.0,2023-01-13
4501098593,20014461076,3220,26,2023,24.0,2023-03-10
4501090489,20014461076,3010,26,2023,2.0,2023-02-17
4501084215,20014461076,3210,21,2023,22.0,2023-01-27
4501090487,20014461076,3010,28,2023,21.0,2023-02-17
4501086019,20014461076,3000,25,2023,17.0,2023-02-02
4501072838,20014461076,3000,20,2023,15.0,2022-12-22
4501076251,20014461076,3000,18,2023,23.0,2023-01-05
4501067103,20014461076,3010,19,2023,4.0,2022-12-02
4501090488,20014461076,3010,26,2023,2.0,2023-02-17
4501090485,20014461076,3010,26,2023,21.0,2023-02-17
4501098364,20014461076,3000,28,2023,24.0,2023-03-09
4501090486,20014461076,3010,26,2023,21.0,2023-02-17
4501098378,20014461076,3010,31,2023,10.0,2023-03-09
4501076314,20014461076,3210,18,2023,8.0,2023-01-05
4501072859,20014461076,3010,19,2023,9.0,2022-12-22
4501091212,20014461076,3210,25,2023,8.0,2023-02-17
4501074375,20014461076,3000,18,2023,11.0,2022-12-29
4501098358,20014461076,3000,29,2023,5.0,2023-03-09
4501091213,20014461076,3210,28,2023,8.0,2023-02-17
4501112708,20014461076,3220,32,2023,18.0,2023-04-27
4501076315,20014461076,3210,18,2023,8.0,2023-01-05
4501098618,20014461076,3000,29,2023,24.0,2023-03-10
4501082919,20014461076,3000,18,2023,24.0,2023-01-26
4501076299,20014461076,3010,22,2023,17.0,2023-01-05
4501098377,20014461076,3010,30,2023,10.0,2023-03-09
4501083179,20014461076,3010,23,2023,15.0,2023-01-26
4501068808,20014461076,3200,18,2023,5.0,2022-12-08
4501090490,20014461076,3010,31,2023,2.0,2023-02-17
4501083174,20014461076,3010,23,2023,15.0,2023-01-26
4501084160,20014461076,3200,21,2023,49.0,2023-01-27
4501098578,20014461076,3200,31,2023,18.0,2023-03-10
4501098379,20014461076,3010,32,2023,10.0,2023-03-09
4501078404,20014461076,3200,20,2023,29.0,2023-01-12
4501090472,20014461092,3000,27,2023,3.0,2023-02-17
4501090470,20014461092,3000,24,2023,3.0,2023-02-17
4501083160,20014461092,3010,22,2023,16.0,2023-01-26
4501098577,20014461092,3200,29,2023,17.0,2023-03-10
4501079120,20014461092,3220,18,2023,12.0,2023-01-13
4501090485,20014461092,3010,26,2023,2.0,2023-02-17
4501082927,20014461092,3000,19,2023,11.0,2023-01-26
4501098593,20014461092,3220,26,2023,25.0,2023-03-10
4501076315,20014461092,3210,18,2023,16.0,2023-01-05
4501082931,20014461092,3000,21,2023,11.0,2023-01-26
4501086268,20014461092,3200,25,2023,40.0,2023-02-03
4501091213,20014461092,3210,28,2023,32.0,2023-02-17
4501086019,20014461092,3000,25,2023,12.0,2023-02-02
4501072838,20014461092,3000,20,2023,1.0,2022-12-22
4501082919,20014461092,3000,18,2023,11.0,2023-01-26
4501076299,20014461092,3010,22,2023,14.0,2023-01-05
4501112655,20014461092,3000,33,2023,21.0,2023-04-27
4501078404,20014461092,3200,20,2023,35.0,2023-01-12
4501084214,20014461092,3210,21,2023,29.0,2023-01-27
4501072859,20014461092,3010,19,2023,2.0,2022-12-22
4501091212,20014461092,3210,25,2023,32.0,2023-02-17
4501084215,20014461092,3210,21,2023,29.0,2023-01-27
4501098618,20014461092,3000,29,2023,11.0,2023-03-10
4501067103,20014461092,3010,19,2023,13.0,2022-12-02
4501090467,20014461092,3000,23,2023,19.0,2023-02-17
4501098377,20014461092,3010,30,2023,9.0,2023-03-09
4501074375,20014461092,3000,18,2023,6.0,2022-12-29
4501098378,20014461092,3010,31,2023,9.0,2023-03-09
4501076314,20014461092,3210,18,2023,16.0,2023-01-05
4501091223,20014461092,3220,24,2023,25.0,2023-02-17
4501083174,20014461092,3010,23,2023,16.0,2023-01-26
4501090522,20014461092,3200,25,2023,10.0,2023-02-17
4501090523,20014461092,3200,25,2023,10.0,2023-02-17
4501090486,20014461092,3010,26,2023,2.0,2023-02-17
4501098364,20014461092,3000,28,2023,11.0,2023-03-09
4501076251,20014461092,3000,18,2023,15.0,2023-01-05
4501090487,20014461092,3010,28,2023,2.0,2023-02-17
4501076319,20014461020,3220,17,2023,25.0,2023-01-05
4501090464,20014461020,3000,23,2023,23.0,2023-02-17
4501098373,20014461020,3010,34,2023,31.0,2023-03-09
4501098618,20014461020,3000,29,2023,4.0,2023-03-10
4501067103,20014461020,3010,19,2023,12.0,2022-12-02
4501083099,20014461020,3010,23,2023,33.0,2023-01-26
4501090488,20014461020,3010,26,2023,49.0,2023-02-17
4501090484,20014461020,3010,26,2023,26.0,2023-02-17
4501098364,20014461020,3000,28,2023,4.0,2023-03-09
4501068808,20014461020,3200,18,2023,17.0,2022-12-08
4501072838,20014461020,3000,20,2023,15.0,2022-12-22
4501091224,20014461020,3220,27,2023,22.0,2023-02-17
4501110314,20014461020,3200,31,2023,15.0,2023-04-20
4501110324,20014461020,3200,32,2023,15.0,2023-04-20
4501076314,20014461020,3210,18,2023,21.0,2023-01-05
4501072859,20014461020,3010,19,2023,7.0,2022-12-22
4501074375,20014461020,3000,18,2023,17.0,2022-12-29
4501091212,20014461020,3210,25,2023,24.0,2023-02-17
4501083160,20014461020,3010,22,2023,9.0,2023-01-26
4501083174,20014461020,3010,23,2023,9.0,2023-01-26
4501074386,20014461020,3010,21,2023,35.0,2022-12-29
4501086021,20014461020,3000,24,2023,30.0,2023-02-02
4501090524,20014461020,3200,25,2023,30.0,2023-02-17
4501076307,20014461020,3200,21,2023,31.0,2023-01-05
4501087883,20014461020,3010,26,2023,40.0,2023-02-09
4501091213,20014461020,3210,28,2023,24.0,2023-02-17
4501083098,20014461020,3010,22,2023,33.0,2023-01-26
4501098360,20014461020,3000,27,2023,41.0,2023-03-09
4501076315,20014461020,3210,18,2023,21.0,2023-01-05
4501067104,20014461020,3010,19,2023,25.0,2022-12-02
4501110311,20014461020,3200,31,2023,15.0,2023-04-20
4501086019,20014461020,3000,25,2023,8.0,2023-02-02
4501098595,20014461020,3220,30,2023,21.0,2023-03-10
4501098579,20014461020,3200,30,2023,20.0,2023-03-10
4501084254,20014461020,3220,17,2023,6.0,2023-01-27
4501082919,20014461020,3000,18,2023,4.0,2023-01-26
4501084251,20014461020,3220,17,2023,35.0,2023-01-27
4501076299,20014461020,3010,22,2023,8.0,2023-01-05
4501078391,20014461020,3000,18,2023,29.0,2023-01-12
4501112655,20014461020,3000,33,2023,3.0,2023-04-27
4501070829,20014461020,3000,19,2023,50.0,2022-12-15
4501086267,20014461020,3200,25,2023,25.0,2023-02-03
4501083179,20014461092,3010,23,2023,16.0,2023-01-26
4501108120,20014461092,3000,31,2023,10.0,2023-04-13
4501084160,20014461092,3200,21,2023,55.0,2023-01-27
4501098578,20014461092,3200,31,2023,17.0,2023-03-10
4501112708,20014461092,3220,32,2023,16.0,2023-04-27
4501098379,20014461092,3010,32,2023,9.0,2023-03-09
4501090471,20014461092,3000,27,2023,3.0,2023-02-17
4501086286,20014461092,3210,23,2023,25.0,2023-02-03
4501098586,20014461092,3210,30,2023,29.0,2023-03-10
4501086285,20014461128,3210,27,2023,17.0,2023-02-03
4501074393,20014461128,3210,17,2023,8.0,2022-12-29
4501084153,20014461128,3200,22,2023,21.0,2023-01-27
4501098354,20014461128,3000,27,2023,83.0,2023-03-09
4501112654,20014461128,3000,32,2023,3.0,2023-04-27
4501110243,20014461128,3000,29,2023,1.0,2023-04-20
4501086266,20014461128,3200,26,2023,26.0,2023-02-03
4501098368,20014461128,3010,33,2023,58.0,2023-03-09
4501086015,20014461128,3000,24,2023,11.0,2023-02-02
4501087878,20014461128,3010,28,2023,14.0,2023-02-09
4501090985,20014461128,3210,25,2023,10.0,2023-02-17
4501083069,20014461128,3010,23,2023,12.0,2023-01-26
4501098581,20014461020,3200,29,2023,40.0,2023-03-10
4501098594,20014461020,3220,26,2023,21.0,2023-03-10
4501098362,20014461020,3000,29,2023,41.0,2023-03-09
4501098588,20014461020,3210,27,2023,20.0,2023-03-10
4501084216,20014461020,3210,18,2023,38.0,2023-01-27
4501083179,20014461020,3010,23,2023,9.0,2023-01-26
4501098361,20014461020,3000,28,2023,41.0,2023-03-09
4501090490,20014461020,3010,31,2023,49.0,2023-02-17
4501110366,20014461020,3210,31,2023,32.0,2023-04-20
4501084217,20014461020,3210,21,2023,38.0,2023-01-27
4501098358,20014461020,3000,29,2023,6.0,2023-03-09
4501098586,20014461020,3210,30,2023,13.0,2023-03-10
4501084253,20014461020,3220,22,2023,35.0,2023-01-27
4501090525,20014461020,3200,25,2023,47.0,2023-02-17
4501110338,20014461020,3200,33,2023,15.0,2023-04-20
4501086288,20014461020,3210,23,2023,38.0,2023-02-03
4501083097,20014461020,3010,21,2023,33.0,2023-01-26
4501062585,20014461020,3010,18,2023,23.0,2022-11-17
4501098359,20014461020,3000,28,2023,17.0,2023-03-09
4501090471,20014461020,3000,27,2023,34.0,2023-02-17
4501086286,20014461020,3210,23,2023,8.0,2023-02-03
4501098592,20014461128,3220,30,2023,9.0,2023-03-10
4501083076,20014461128,3010,23,2023,12.0,2023-01-26
4501098572,20014461128,3200,29,2023,42.0,2023-03-10
4501112639,20014461128,3000,34,2023,3.0,2023-04-27
4501090459,20014461128,3000,25,2023,16.0,2023-02-17
4501098591,20014461128,3220,27,2023,9.0,2023-03-10
4501091221,20014461128,3220,23,2023,61.0,2023-02-17
4501076312,20014461128,3210,21,2023,13.0,2023-01-05
4501084199,20014461128,3210,21,2023,54.0,2023-01-27
4501067111,20014461128,3200,19,2023,22.0,2022-12-02
4501110280,20014461128,3000,32,2023,1.0,2023-04-20
4501110262,20014461128,3000,30,2023,1.0,2023-04-20
4501087877,20014461128,3010,28,2023,14.0,2023-02-09
4501083070,20014461128,3010,24,2023,12.0,2023-01-26
4501078411,20014461128,3210,21,2023,16.0,2023-01-12
4501083082,20014461128,3010,23,2023,12.0,2023-01-26
4501090457,20014461128,3000,24,2023,16.0,2023-02-17
4501090518,20014461128,3200,29,2023,39.0,2023-02-17
4501098584,20014461128,3210,30,2023,55.0,2023-03-10
4501083084,20014461128,3010,28,2023,12.0,2023-01-26
4501110368,20014461135,3220,28,2023,22.0,2023-04-20
4501098589,20014461020,3210,29,2023,29.0,2023-03-10
4501098363,20014461020,3000,30,2023,41.0,2023-03-09
4501083168,20014461020,3010,22,2023,9.0,2023-01-26
4501078413,20014461020,3210,18,2023,33.0,2023-01-12
4501090472,20014461020,3000,27,2023,34.0,2023-02-17
4501090526,20014461020,3200,30,2023,47.0,2023-02-17
4501098586,20014461055,3210,30,2023,25.0,2023-03-10
4501083168,20014461055,3010,22,2023,17.0,2023-01-26
4501098577,20014461055,3200,29,2023,17.0,2023-03-10
4501083160,20014461055,3010,22,2023,17.0,2023-01-26
4501098364,20014461055,3000,28,2023,20.0,2023-03-09
4501082927,20014461055,3000,19,2023,11.0,2023-01-26
4501084215,20014461055,3210,21,2023,32.0,2023-01-27
4501098358,20014461055,3000,29,2023,5.0,2023-03-09
4501082931,20014461055,3000,21,2023,11.0,2023-01-26
4501086268,20014461055,3200,25,2023,43.0,2023-02-03
4501076314,20014461055,3210,18,2023,12.0,2023-01-05
4501112655,20014461055,3000,33,2023,1.0,2023-04-27
4501076315,20014461055,3210,18,2023,12.0,2023-01-05
4501079120,20014461055,3220,18,2023,12.0,2023-01-13
4501072838,20014461055,3000,20,2023,13.0,2022-12-22
4501098583,20014461135,3210,30,2023,5.0,2023-03-10
4501078409,20014461135,3210,21,2023,3.0,2023-01-12
4501078399,20014461135,3010,23,2023,5.0,2023-01-12
4501084159,20014461135,3200,26,2023,1.0,2023-01-27
4501086283,20014461135,3210,27,2023,5.0,2023-02-03
4501084155,20014461135,3200,20,2023,1.0,2023-01-27
4501110349,20014461135,3210,29,2023,3.0,2023-04-20
4501084208,20014461135,3210,25,2023,6.0,2023-01-27
4501110243,20014461135,3000,29,2023,16.0,2023-04-20
4501110365,20014461135,3210,31,2023,3.0,2023-04-20
4501112697,20014461135,3210,32,2023,10.0,2023-04-27
4501084158,20014461135,3200,26,2023,1.0,2023-01-27
4501112654,20014461135,3000,32,2023,2.0,2023-04-27
4501086303,20014461135,3220,26,2023,11.0,2023-02-03
4501087882,20014461135,3010,28,2023,11.0,2023-02-09
4501092969,20014461135,3000,27,2023,8.0,2023-02-23
4501074385,20014461135,3010,20,2023,9.0,2022-12-29
4501083096,20014461135,3010,28,2023,9.0,2023-01-26
4501112639,20014461135,3000,34,2023,2.0,2023-04-27
4501084206,20014461135,3210,21,2023,6.0,2023-01-27
4501090453,20014461135,3000,27,2023,1.0,2023-02-17
4501098593,20014461055,3220,26,2023,23.0,2023-03-10
4501083174,20014461055,3010,23,2023,17.0,2023-01-26
4501090523,20014461055,3200,25,2023,3.0,2023-02-17
4501076299,20014461055,3010,22,2023,19.0,2023-01-05
4501076251,20014461055,3000,18,2023,10.0,2023-01-05
4501086019,20014461055,3000,25,2023,8.0,2023-02-02
4501098377,20014461055,3010,30,2023,5.0,2023-03-09
4501098378,20014461055,3010,31,2023,5.0,2023-03-09
4501083179,20014461055,3010,23,2023,17.0,2023-01-26
4501068808,20014461055,3200,18,2023,12.0,2022-12-08
4501086286,20014461055,3210,23,2023,27.0,2023-02-03
4501090522,20014461055,3200,25,2023,3.0,2023-02-17
4501098618,20014461055,3000,29,2023,20.0,2023-03-10
4501067103,20014461055,3010,19,2023,11.0,2022-12-02
4501090467,20014461055,3000,23,2023,7.0,2023-02-17
4501082919,20014461055,3000,18,2023,11.0,2023-01-26
4501084160,20014461055,3200,21,2023,54.0,2023-01-27
4501078404,20014461055,3200,20,2023,31.0,2023-01-12
4501091213,20014461055,3210,28,2023,19.0,2023-02-17
4501112708,20014461055,3220,32,2023,20.0,2023-04-27
4501098379,20014461055,3010,32,2023,5.0,2023-03-09
4501084214,20014461055,3210,21,2023,32.0,2023-01-27
4501091223,20014461055,3220,24,2023,20.0,2023-02-17
4501072859,20014461055,3010,19,2023,11.0,2022-12-22
4501074375,20014461055,3000,18,2023,10.0,2022-12-29
4501091212,20014461055,3210,25,2023,19.0,2023-02-17
4501098377,20014461057,3010,30,2023,2.0,2023-03-09
4501083168,20014461057,3010,22,2023,11.0,2023-01-26
4501086268,20014461057,3200,25,2023,5.0,2023-02-03
4501098577,20014461057,3200,29,2023,5.0,2023-03-10
4501083160,20014461057,3010,22,2023,11.0,2023-01-26
4501098364,20014461057,3000,28,2023,3.0,2023-03-09
4501082927,20014461057,3000,19,2023,1.0,2023-01-26
4501079120,20014461057,3220,18,2023,7.0,2023-01-13
4501076314,20014461057,3210,18,2023,4.0,2023-01-05
4501090523,20014461057,3200,25,2023,6.0,2023-02-17
4501074375,20014461057,3000,18,2023,20.0,2022-12-29
4501091212,20014461057,3210,25,2023,2.0,2023-02-17
4501110311,20014461057,3200,31,2023,1.0,2023-04-20
4501098593,20014461057,3220,26,2023,3.0,2023-03-10
4501084215,20014461057,3210,21,2023,10.0,2023-01-27
4501090522,20014461057,3200,25,2023,6.0,2023-02-17
4501098618,20014461057,3000,29,2023,3.0,2023-03-10
4501076251,20014461057,3000,18,2023,4.0,2023-01-05
4501090467,20014461057,3000,23,2023,2.0,2023-02-17
4501090485,20014461057,3010,26,2023,12.0,2023-02-17
4501112708,20014461057,3220,32,2023,20.0,2023-04-27
4501076315,20014461057,3210,18,2023,4.0,2023-01-05
4501084160,20014461057,3200,21,2023,7.0,2023-01-27
4501110355,20014461057,3210,29,2023,2.0,2023-04-20
4501072838,20014461057,3000,20,2023,24.0,2022-12-22
4501110314,20014461057,3200,31,2023,1.0,2023-04-20
4501076299,20014461057,3010,22,2023,2.0,2023-01-05
4501090487,20014461057,3010,28,2023,12.0,2023-02-17
4501090486,20014461057,3010,26,2023,12.0,2023-02-17
4501098378,20014461057,3010,31,2023,2.0,2023-03-09
4501110324,20014461057,3200,32,2023,1.0,2023-04-20
4501083179,20014461057,3010,23,2023,11.0,2023-01-26
4501083174,20014461057,3010,23,2023,11.0,2023-01-26
4501110366,20014461057,3210,31,2023,2.0,2023-04-20
4501098586,20014461057,3210,30,2023,5.0,2023-03-10
4501082919,20014461057,3000,18,2023,1.0,2023-01-26
4501082931,20014461057,3000,21,2023,1.0,2023-01-26
4501098578,20014461057,3200,31,2023,5.0,2023-03-10
4501091213,20014461057,3210,28,2023,2.0,2023-02-17
4501098379,20014461057,3010,32,2023,2.0,2023-03-09
4501086286,20014461057,3210,23,2023,12.0,2023-02-03
4501110338,20014461057,3200,33,2023,1.0,2023-04-20
4501078404,20014461057,3200,20,2023,8.0,2023-01-12
4501110355,20014461088,3210,29,2023,1.0,2023-04-20
4501072838,20014461088,3000,20,2023,24.0,2022-12-22
4501098618,20014461088,3000,29,2023,2.0,2023-03-10
4501090485,20014461088,3010,26,2023,14.0,2023-02-17
4501098364,20014461088,3000,28,2023,2.0,2023-03-09
4501082927,20014461088,3000,19,2023,5.0,2023-01-26
4501110314,20014461088,3200,31,2023,1.0,2023-04-20
